iter	Passed	Remaining
0	308	307788
1	309	154462
2	311	103648
3	313	77952
4	314	62525
5	315	52233
6	316	44889
7	317	39389
8	318	35111
9	320	31682
10	321	28875
11	322	26534
12	323	24560
13	325	22896
14	326	21425
15	327	20136
16	328	18995
17	329	17980
18	330	17077
19	331	16265
20	332	15522
21	334	14850
22	335	14234
23	336	13667
24	337	13151
25	339	12705
26	340	12273
27	342	11873
28	343	11499
29	344	11148
30	346	10825
31	347	10519
32	349	10230
33	350	9957
34	353	9734
35	354	9504
36	356	9270
37	357	9052
38	359	8847
39	360	8644
40	361	8451
41	362	8267
42	363	8091
43	364	7925
44	367	7791
45	368	7645
46	369	7498
47	371	7358
48	372	7224
49	373	7095
50	374	6969
51	375	6846
52	376	6728
53	377	6615
54	379	6512
55	380	6411
56	382	6320
57	383	6230
58	384	6138
59	386	6048
60	387	5961
61	388	5876
62	389	5793
63	390	5713
64	391	5635
65	393	5562
66	394	5491
67	397	5442
68	398	5382
69	400	5318
70	402	5263
71	403	5199
72	404	5139
73	405	5080
74	407	5021
75	408	4965
76	409	4909
77	411	4866
78	413	4823
79	415	4773
80	416	4723
81	418	4682
82	418	4628
83	420	4581
84	421	4535
85	422	4491
86	423	4448
87	425	4405
88	427	4373
89	429	4341
90	430	4302
91	432	4270
92	433	4232
93	435	4195
94	436	4161
95	438	4125
96	439	4090
97	440	4055
98	443	4034
99	445	4007
100	446	3976
101	448	3948
102	449	3916
103	451	3887
104	452	3856
105	453	3825
106	454	3795
107	456	3766
108	458	3748
109	460	3724
110	461	3697
111	462	3670
112	464	3647
113	466	3623
114	468	3607
115	470	3581
116	471	3555
117	475	3557
118	477	3534
119	478	3510
120	480	3491
121	481	3465
122	482	3441
123	483	3418
124	485	3395
125	486	3372
126	488	3358
127	490	3341
128	491	3320
129	493	3299
130	494	3279
131	495	3258
132	496	3238
133	497	3217
134	498	3197
135	500	3177
136	501	3157
137	502	3141
138	504	3126
139	506	3110
140	507	3091
141	508	3070
142	509	3053
143	510	3036
144	511	3018
145	512	3000
146	513	2982
147	515	2965
148	516	2949
149	519	2942
150	520	2929
151	522	2913
152	523	2900
153	525	2884
154	526	2869
155	527	2854
156	528	2839
157	530	2824
158	531	2810
159	534	2807
160	536	2793
161	537	2780
162	538	2766
163	539	2752
164	541	2738
165	542	2724
166	543	2711
167	544	2698
168	545	2684
169	547	2671
170	549	2664
171	551	2655
172	552	2642
173	553	2629
174	555	2617
175	556	2604
176	557	2592
177	558	2580
178	560	2569
179	561	2556
180	562	2544
181	565	2542
182	567	2534
183	568	2523
184	570	2511
185	571	2500
186	572	2489
187	573	2477
188	574	2466
189	575	2454
190	576	2443
191	578	2433
192	580	2426
193	582	2419
194	583	2409
195	584	2398
196	585	2387
197	586	2377
198	588	2367
199	589	2356
200	590	2346
201	591	2337
202	592	2327
203	596	2327
204	599	2323
205	600	2315
206	601	2305
207	603	2297
208	604	2287
209	605	2277
210	606	2268
211	607	2258
212	610	2255
213	613	2252
214	614	2243
215	615	2235
216	616	2226
217	618	2216
218	619	2207
219	620	2199
220	621	2191
221	623	2185
222	626	2182
223	629	2179
224	630	2170
225	631	2162
226	632	2154
227	633	2146
228	635	2138
229	636	2130
230	637	2121
231	638	2113
232	641	2112
233	643	2108
